Properti_Name,Price,Lokasi,Detail
dijual rumah bagus di Senopati jaksel 350/400m 21M,Rp 21.000.000.000,"Kebayoran Baru, Jakarta Selatan",5 KT - 5 KM - 400 m2
dijual rumah mewah di permata hijau jaksel 600/450m 29.5M,Rp 29.500.000.000,"Jakarta Selatan, Jakarta D.K.I.",5 KT - 4 KM - 450 m2
dijual rumah lama siap huni di permata hijau,Rp 20.000.000.000,"Jakarta Selatan, Jakarta D.K.I.",5 KT - 4 KM - 700 m2
dijual rumah mewah di warung buncit jaksel 783/1200m 17.5M,Rp 17.500.000.000,"Mampang Prapatan, Jakarta Selatan",8 KT - 7 KM - 1200 m2
"KPR rumah 1,5 lantai modern dekat stasiun kereta depok",Rp 499.990.000,"Pasar Minggu, Jakarta Selatan",2 KT - 1 KM - 45 m2
Full Furnished ‼️ Villa Cantik Kusuma Pinus Batu,Rp 2.700.000.000,"Pesanggrahan, Jakarta Selatan",4 KT - 3 KM - 170 m2
dijual rumah lama siap huni di pondok indah 348/300m 11.5M,Rp 12.000.000.000,"Kebayoran Lama, Jakarta Selatan",5 KT - 5 KM - 300 m2
DIJUAL RUMAH DALAM CLUSTER KAWASAN CILANDAK SEMI FURNISHED,Rp 12.300.000.000,"Cilandak, Jakarta Selatan",5 KT - 4 KM - 465 m2
"Dijual nego sampai deal  rumah lebak bulus, dekat MRT, kompleks, SHM",Rp 3.300.000.000,"Cilandak, Jakarta Selatan",4 KT - 3 KM - 288 m2
Rumah Mewah Ada Lift Lokasi Prime Area Kebayoran Baru RSPP,Rp 19.000.000.000,"Kebayoran Baru, Jakarta Selatan",7 KT - 8 KM - 600 m2
Dijual rumah klasik harga menarik at Pondok Indah Jakarta Selatan,Rp 50.000.000.000,"Kebayoran Lama, Jakarta Selatan",8 KT - 8 KM - 852 m2
dijual rumah mewah di Cipete utara kebayoran baru 330/235m 35M,Rp 10.500.000.000,"Kebayoran Baru, Jakarta Selatan",7 KT - 6 KM - 500 m2
dijual rumah baru di Pekayon ampera,Rp 6.700.000.000,"Pasar Minggu, Jakarta Selatan",4 KT - 4 KM - 332 m2
dijual rumah tua hitung tanah dekat Senopati kebayoran baru,Rp 16.425.000.000,"Kebayoran Baru, Jakarta Selatan",4 KT - 3 KM - 150 m2
dijual rumah mewah di Jati padang townhouse 600/500m 12M,Rp 12.000.000.000,"Pasar Minggu, Jakarta Selatan",7 KT - 6 KM - 500 m2
dijual rumah lama siap huni di kebayoran baru,Rp 5.700.000.000,"Kebayoran Baru, Jakarta Selatan",9 KT - 3 KM - 160 m2
dijual rumah lama siap huni di cibulan Jakarta selatan,Rp 9.800.000.000,"Kebayoran Baru, Jakarta Selatan",5 KT - 4 KM - 350 m2
dijual rumah di area Radio dalam fatmawati Jakarta selatan,Rp 12.000.000.000,"Jakarta Selatan, Jakarta D.K.I.",10 KT - 4 KM - 600 m2
dijual rumah bagus di Rawa Simprug Jakarta Selatan 300/350m 5.8M,Rp 5.500.000.000,"Kebayoran Baru, Jakarta Selatan",4 KT - 3 KM - 250 m2
dijual rumah baru di alam segar pondok indah Jakarta selatan,Rp 9.000.000.000,"Kebayoran Lama, Jakarta Selatan",6 KT - 5 KM - 400 m2
dijual rumah bagus di komplek lebak bulus belakang terminal,Rp 11.500.000.000,"Kebayoran Lama, Jakarta Selatan",7 KT - 6 KM - 880 m2
dijual rumah baru di cilandak Jakarta selatan 580/650m 14M,Rp 14.000.000.000,"Cilandak, Jakarta Selatan",6 KT - 5 KM - 650 m2
Dijual Rumah Asri Lokasi Strategis di Cidodol Kebayoran Lama,Rp 5.700.000.000,"Kebayoran Lama, Jakarta Selatan",3 KT - 3 KM - 150 m2
Miliki Rumah siap Huni di Mampang Prapatan Jakarta Selatan,Rp 4.800.000.000,"Mampang Prapatan, Jakarta Selatan",4 KT - 5 KM - 300 m2
Rumah baru mini cluster minimalis murah jaksel siap huni compact,Rp 1.700.000.000,"Pesanggrahan, Jakarta Selatan",4 KT - 3 KM - 110 m2
